"year","state_fips","acs_employment_status_asian_male_16_64_in_labor_force_estimate","acs_employment_status_asian_male_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_asian_male_16_64_in_labor_force_civilian_estimate","acs_employment_status_asian_male_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_asian_male_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_asian_male_16_64_not_in_labor_force_estimate","acs_employment_status_asian_male_65_plus_in_labor_force_estimate","acs_employment_status_asian_male_65_plus_in_labor_force_employed_estimate","acs_employment_status_asian_male_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_asian_male_65_plus_not_in_labor_force_estimate","acs_employment_status_asian_female_16_64_in_labor_force_estimate","acs_employment_status_asian_female_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_asian_female_16_64_in_labor_force_civilian_estimate","acs_employment_status_asian_female_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_asian_female_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_asian_female_16_64_not_in_labor_force_estimate","acs_employment_status_asian_female_65_plus_in_labor_force_estimate","acs_employment_status_asian_female_65_plus_in_labor_force_employed_estimate","acs_employment_status_asian_female_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_asian_female_65_plus_not_in_labor_force_estimate","acs_employment_status_asian_male_16_64_in_labor_force_moe","acs_employment_status_asian_male_16_64_in_labor_force_armed_forces_moe","acs_employment_status_asian_male_16_64_in_labor_force_civilian_moe","acs_employment_status_asian_male_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_asian_male_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_asian_male_16_64_not_in_labor_force_moe","acs_employment_status_asian_male_65_plus_in_labor_force_moe","acs_employment_status_asian_male_65_plus_in_labor_force_employed_moe","acs_employment_status_asian_male_65_plus_in_labor_force_unemployed_moe","acs_employment_status_asian_male_65_plus_not_in_labor_force_moe","acs_employment_status_asian_female_16_64_in_labor_force_moe","acs_employment_status_asian_female_16_64_in_labor_force_armed_forces_moe","acs_employment_status_asian_female_16_64_in_labor_force_civilian_moe","acs_employment_status_asian_female_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_asian_female_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_asian_female_16_64_not_in_labor_force_moe","acs_employment_status_asian_female_65_plus_in_labor_force_moe","acs_employment_status_asian_female_65_plus_in_labor_force_employed_moe","acs_employment_status_asian_female_65_plus_in_labor_force_unemployed_moe","acs_employment_status_asian_female_65_plus_not_in_labor_force_moe"
2020,"30",2067,46,2021,1932,89,364,60,60,0,271,2963,0,2963,2860,103,1246,141,141,0,508,294,47,295,292,91,139,46,46,26,102,331,26,331,329,104,261,77,77,26,127
2020,"31",13723,204,13519,13013,506,2750,308,302,6,990,12502,13,12489,11909,580,5270,286,286,0,1620,588,104,577,542,160,320,84,85,11,143,567,17,566,562,184,479,95,95,23,164
2020,"32",62734,449,62285,59527,2758,14143,3757,3520,237,14222,68571,212,68359,64946,3413,26267,3999,3776,223,22639,1193,190,1194,1319,407,863,464,454,110,463,1596,142,1595,1621,504,1096,468,453,132,540
2020,"33",10325,96,10229,9927,302,2626,348,337,11,837,10238,181,10057,9680,377,3709,242,242,0,1711,403,90,416,417,139,355,157,157,17,212,514,155,508,509,129,397,110,110,28,171
2020,"34",242053,216,241837,232720,9117,43906,13689,13029,660,32439,202377,4,202373,192337,10036,98645,8744,8338,406,46307,1665,92,1665,1794,725,1461,770,745,304,823,2455,6,2454,2461,723,2126,781,785,175,787
2020,"35",8370,180,8190,7709,481,2065,307,300,7,1212,8816,105,8711,8352,359,4529,303,303,0,2293,470,85,471,485,175,329,117,117,12,216,558,102,572,546,161,449,130,130,30,237
2020,"36",436187,639,435548,414045,21503,114304,20286,19446,840,77445,409863,87,409776,389646,20130,206964,14080,13288,792,102942,2461,159,2465,2432,1174,2100,890,863,179,1018,3422,47,3419,3483,1076,3205,881,854,232,1279
2020,"37",87205,2332,84873,81724,3149,18228,2451,2360,91,8023,73038,509,72529,69412,3117,40636,1930,1895,35,12185,1406,349,1394,1508,476,1008,320,318,97,432,1400,204,1393,1450,435,1348,310,299,52,434
2020,"38",3972,167,3805,3770,35,567,66,66,0,65,3646,17,3629,3582,47,1049,60,60,0,322,324,110,343,351,39,172,47,47,23,61,267,26,267,268,37,212,35,35,23,93
2020,"39",75984,140,75844,73468,2376,16590,2328,2269,59,7721,61507,116,61391,57960,3431,37309,2200,2193,7,11963,1232,77,1236,1289,426,885,271,282,41,333,1548,77,1545,1521,550,1438,387,388,14,484
2020,"40",22682,531,22151,21501,650,6609,866,866,0,2118,21676,69,21607,20920,687,11044,998,978,20,3756,686,152,706,729,205,460,164,164,23,178,759,71,772,750,175,669,197,195,22,272
2020,"41",48802,7,48795,46813,1982,14094,1941,1841,100,6696,50913,13,50900,47790,3110,23199,1708,1653,55,10708,1158,11,1158,1225,446,920,317,307,70,362,1112,20,1110,1127,435,950,269,263,58,400
2020,"42",119752,19,119733,114538,5195,32049,5044,4773,271,15570,107360,18,107342,102340,5002,58682,3281,3156,125,21347,1479,16,1475,1429,592,1312,501,486,111,535,1594,20,1595,1693,554,1620,484,478,69,550
2020,"44",9865,169,9696,9295,401,3007,411,407,4,974,8769,18,8751,8375,376,5479,284,201,83,1245,464,114,468,472,188,399,150,148,7,150,528,23,524,544,201,540,133,98,101,152
2020,"45",22334,834,21500,20755,745,5107,1432,1432,0,2704,20006,153,19853,19455,398,11017,1028,1028,0,4286,708,233,748,766,229,551,246,246,31,313,816,99,815,801,134,742,234,234,31,303
2020,"46",3553,199,3354,3220,134,521,93,93,0,367,3165,0,3165,2952,213,1507,58,58,0,258,353,111,349,339,67,168,74,74,23,215,320,23,320,314,141,249,42,42,23,106
2020,"47",33740,223,33517,32665,852,7222,1293,1293,0,3377,29162,79,29083,28133,950,16970,1362,1304,58,5092,804,109,822,811,233,576,239,239,31,277,1023,74,1017,1058,227,887,300,297,59,332
2020,"48",390096,2756,387340,371589,15751,84015,15148,14654,494,47250,332545,1079,331466,317402,14064,174566,10716,10527,189,67467,2633,413,2662,2931,1225,2361,998,988,177,1092,3635,243,3645,3594,1222,2925,968,951,95,1148
2020,"49",20829,75,20754,20032,722,4921,711,606,105,1858,20509,46,20463,19701,762,8471,631,591,40,3375,746,61,744,770,338,522,150,142,72,189,804,40,799,786,232,667,182,174,40,264
2020,"50",2683,15,2668,2578,90,635,62,62,0,169,3046,0,3046,2960,86,1211,99,98,1,359,335,24,336,322,86,162,40,40,23,41,316,23,316,323,46,251,49,50,3,88
2020,"51",157942,3687,154255,149252,5003,29368,8472,8249,223,19028,149100,830,148270,142436,5834,61416,8290,8076,214,28422,1293,524,1413,1479,624,1176,501,512,83,610,1753,212,1756,1700,692,1601,617,627,222,739
2020,"53",187215,2104,185111,178474,6637,37956,7128,7032,96,23538,176819,718,176101,169047,7054,75217,6654,6569,85,39735,1934,338,1953,1885,652,1614,534,532,65,641,2410,219,2414,2404,678,1784,608,605,64,803
2020,"54",3818,0,3818,3752,66,1038,274,274,0,365,3588,0,3588,3430,158,2042,341,341,0,810,432,29,432,430,63,240,111,111,29,128,371,29,371,365,54,363,123,123,29,193
2020,"55",45035,75,44960,43420,1540,11486,889,873,16,3202,40419,5,40414,39048,1366,17771,699,695,4,4995,1017,72,1023,952,307,650,208,205,26,224,941,9,942,957,286,777,173,173,5,250
2020,"56",1296,91,1205,1161,44,159,137,137,0,78,1381,24,1357,1285,72,886,26,26,0,206,256,69,255,246,49,85,94,94,29,50,258,20,257,273,78,180,27,27,29,100
2021,"01",18731,397,18334,17988,346,4421,1100,1073,27,1715,16401,66,16335,15760,575,9965,792,768,24,3560,791,155,785,791,121,497,209,203,30,254,743,80,751,704,195,667,182,182,26,288
2021,"02",12714,407,12307,11450,857,2590,817,801,16,1263,13755,84,13671,13173,498,4029,775,767,8,2543,562,164,577,570,275,403,157,155,23,161,573,95,569,591,173,467,173,173,13,175
2021,"04",64875,686,64189,62056,2133,15001,2248,2157,91,8900,59255,75,59180,56900,2280,27551,2250,2195,55,14883,1286,180,1274,1244,419,1173,345,333,55,389,1539,60,1536,1524,351,1096,365,363,48,413
2021,"05",12967,18,12949,12587,362,2665,411,401,10,1002,11203,38,11165,10911,254,6206,619,619,0,1815,468,18,468,468,152,435,128,126,14,153,617,49,612,608,107,621,196,196,30,244
2021,"06",1531745,8196,1523549,1447252,76297,380107,86454,82099,4355,307037,1465825,1998,1463827,1387418,76409,622027,76260,73347,2913,441731,5643,733,5627,5469,2412,4997,2175,2054,422,2391,5601,400,5625,5797,1742,5015,1964,1930,376,2424
2021,"08",50745,937,49808,47946,1862,9872,1968,1939,29,5919,50179,131,50048,47953,2095,20965,1570,1530,40,10123,879,220,858,902,342,621,299,301,21,363,1086,87,1098,1103,322,1012,283,282,26,357
2021,"09",48197,258,47939,45833,2106,9531,1998,1941,57,4888,40369,76,40293,38103,2190,21750,1558,1479,79,6995,875,157,866,889,383,653,228,222,45,292,1073,59,1064,1119,350,1087,243,250,59,342
2021,"10",11690,196,11494,11080,414,1999,467,422,45,1483,8840,4,8836,8367,469,4697,241,230,11,2381,387,222,437,454,146,373,173,143,62,188,505,7,505,504,226,516,81,82,17,81
2021,"11",7723,178,7545,7391,154,1908,188,145,43,616,10913,26,10887,10501,386,3006,331,322,9,1036,444,84,446,461,75,275,115,111,64,117,612,39,607,580,132,462,123,125,16,130
