"year","state_fips","acs_occupation_universe_estimate","acs_occupation_male_total_estimate","acs_occupation_male_for_profit_worker_estimate","acs_occupation_male_for_profit_worker_employee_estimate","acs_occupation_male_for_profit_worker_self_employed_estimate","acs_occupation_male_nonprofit_worker_estimate","acs_occupation_male_local_govt_worker_estimate","acs_occupation_male_state_govt_worker_estimate","acs_occupation_male_fed_govt_worker_estimate","acs_occupation_male_self_employed_not_incorporated_estimate","acs_occupation_male_unpaid_family_worker_estimate","acs_occupation_female_total_estimate","acs_occupation_female_for_profit_worker_estimate","acs_occupation_female_for_profit_worker_employee_estimate","acs_occupation_female_for_profit_worker_self_employed_estimate","acs_occupation_female_nonprofit_worker_estimate","acs_occupation_female_local_govt_worker_estimate","acs_occupation_female_state_govt_worker_estimate","acs_occupation_female_fed_govt_worker_estimate","acs_occupation_female_self_employed_not_incorporated_estimate","acs_occupation_female_unpaid_family_worker_estimate","acs_occupation_universe_moe","acs_occupation_male_total_moe","acs_occupation_male_for_profit_worker_moe","acs_occupation_male_for_profit_worker_employee_moe","acs_occupation_male_for_profit_worker_self_employed_moe","acs_occupation_male_nonprofit_worker_moe","acs_occupation_male_local_govt_worker_moe","acs_occupation_male_state_govt_worker_moe","acs_occupation_male_fed_govt_worker_moe","acs_occupation_male_self_employed_not_incorporated_moe","acs_occupation_male_unpaid_family_worker_moe","acs_occupation_female_total_moe","acs_occupation_female_for_profit_worker_moe","acs_occupation_female_for_profit_worker_employee_moe","acs_occupation_female_for_profit_worker_self_employed_moe","acs_occupation_female_nonprofit_worker_moe","acs_occupation_female_local_govt_worker_moe","acs_occupation_female_state_govt_worker_moe","acs_occupation_female_fed_govt_worker_moe","acs_occupation_female_self_employed_not_incorporated_moe","acs_occupation_female_unpaid_family_worker_moe"
2015,"16",715861,388809,285331,263801,21530,17728,22018,17852,12963,31993,924,327052,212705,203756,8949,30282,29179,23696,7500,22730,960,3976,2742,2879,2754,1240,870,1274,839,797,1248,229,2849,3062,3095,631,1319,1232,1076,702,1115,197
2015,"17",6086226,3178535,2495948,2345634,150314,178834,178599,97019,57125,166880,4130,2907691,2002235,1942399,59836,359231,237136,136101,50735,117930,4323,11241,6722,7143,7023,2235,3098,2616,1526,1574,2496,465,7364,7061,6856,1396,4572,3472,2241,1220,1857,450
2015,"18",3038762,1597349,1277269,1214981,62288,86912,72821,47579,24778,85516,2474,1441413,1006518,982116,24402,188812,102632,64160,21898,55357,2036,7192,4545,5427,5527,1519,2019,1697,1607,993,1793,269,4880,4912,4977,1150,2915,1981,1846,866,1435,293
2015,"19",1573510,822245,623209,584889,38320,43631,40630,34880,13861,64249,1785,751265,490791,476875,13916,96921,58379,53892,11682,38127,1473,4291,3269,3953,3710,1147,1095,1185,1300,714,1233,271,2773,3264,3156,754,1575,1337,1400,685,990,184
2015,"20",1401197,740411,553095,521036,32059,35848,44922,32283,19413,53381,1469,660786,422770,409808,12962,79056,61217,48869,15677,32089,1108,4335,3058,3127,3322,1089,1108,1185,1349,1032,1278,212,3166,2793,2838,627,1845,1362,1398,709,1090,160
2015,"21",1891381,987066,750293,711359,38934,49031,47386,47820,24527,66291,1718,904315,599693,584235,15458,100430,62868,82247,21305,36318,1454,6734,4260,4284,4184,1162,1421,1496,1630,1041,1501,251,4244,3756,3778,807,2002,1734,1968,953,1281,232
2015,"22",2016049,1047601,807161,756648,50513,43053,58313,42361,25942,69578,1193,968448,655613,634772,20841,83751,86202,78912,21110,41479,1381,6304,3526,4324,4393,1477,1561,1704,1611,1091,1929,224,5009,5156,5042,1075,2168,2090,2057,851,1242,261
2015,"23",648687,329117,227088,209147,17941,25675,19156,11799,9439,35534,426,319570,190281,183220,7061,56897,29062,15468,6334,21103,425,2995,2120,2491,2530,902,1057,946,751,649,1084,116,1902,2017,1929,557,1265,1021,696,404,766,94
2015,"24",2976504,1503021,1020066,952142,67924,103331,88964,54827,156748,77379,1706,1473483,857438,827591,29847,187161,139837,71950,150868,64296,1933,5512,4503,4286,4217,1675,1840,1894,1510,2584,1686,273,4086,4689,4813,1019,2943,2240,1454,2635,1805,301
2015,"25",3415975,1731102,1267764,1197732,70032,151889,93535,60444,34549,120745,2176,1684873,1076317,1049770,26547,284555,144433,69012,22106,86380,2070,8786,4891,4838,4807,1634,2504,2452,1697,1278,2383,331,5308,5054,5187,1197,3189,2456,1425,918,2184,347
2015,"26",4373518,2259928,1786347,1678859,107488,136935,97476,71463,33759,130202,3746,2113590,1453867,1412368,41499,282376,139935,111069,32669,89883,3791,9697,5688,5043,5110,1529,2457,2102,1591,1129,2002,321,6377,5785,5752,1279,3609,2170,1907,1086,1777,352
2015,"27",2827195,1461693,1118882,1040317,78565,103592,70474,47246,22668,96675,2156,1365502,890579,860308,30271,214080,112051,66033,17830,62891,2038,4904,3372,3754,3738,1575,1954,1785,1121,925,1595,212,3529,3899,3802,811,2851,1797,1581,690,1392,222
2015,"28",1203914,619773,459885,432974,26911,24936,31667,37252,22126,43040,867,584141,384612,373078,11534,44280,43705,71112,16964,22698,770,5777,3372,3713,3913,1098,1148,1290,1644,1010,1515,214,3966,3633,3615,810,1745,1454,1782,942,1151,191
2015,"29",2807996,1443374,1085312,1027151,58161,96910,72574,50542,34311,101134,2591,1364622,906113,880481,25632,196442,91074,79183,30258,58988,2564,5535,4196,5065,5016,1760,2318,1701,1549,1233,2387,315,3736,4117,4118,1057,2883,1783,1945,1100,1462,362
2015,"30",485446,256417,172182,151937,20245,15164,14700,14652,10867,27706,1146,229029,132897,124842,8055,30458,20845,18056,8815,16745,1213,2893,2010,2149,2108,795,817,660,834,673,1024,204,1838,1882,1839,460,1008,803,869,579,742,230
2015,"31",968134,509118,379075,352958,26117,26681,27215,21567,11915,41585,1080,459016,298133,288460,9673,59980,39757,27113,9321,23791,921,3220,1835,2308,2337,813,985,821,951,636,1016,157,2491,2436,2438,486,1360,1015,1000,542,809,138
2015,"32",1267312,677889,549359,523522,25837,18535,35777,18340,20347,34993,538,589423,449983,437744,12239,27971,48199,21669,12066,28980,555,5125,3085,3518,3435,1230,1066,1349,990,1126,1456,142,3638,3707,3644,666,1180,1433,980,751,1041,132
2015,"33",698810,363241,270142,254372,15770,22753,18819,11157,9271,30739,360,335569,210988,204777,6211,51316,35213,13859,5953,17778,462,3176,1973,2349,2508,873,869,986,730,732,1297,106,2218,2299,2309,536,1348,1196,733,476,766,120
2015,"34",4281760,2245487,1752945,1631245,121700,104657,133371,79024,48418,124467,2605,2036273,1430539,1386418,44121,192524,191341,111786,29057,77820,3206,8024,4834,5237,5263,2080,2280,2517,1778,1505,2361,355,6076,5662,5776,1482,3016,2990,2121,1028,1878,396
2015,"35",876035,459827,312830,295572,17258,23105,33235,26330,29924,33530,873,416208,242756,233194,9562,42860,40313,43446,20837,25018,978,4065,2762,3142,3295,915,999,1365,1097,1228,1234,197,3088,2759,2804,657,1507,1371,1472,1083,1058,235
2015,"36",9254578,4764729,3458745,3214239,244506,331089,378702,183649,91980,313963,6601,4489849,2867937,2773205,94732,594954,499273,221166,68881,231470,6168,14601,7542,7303,7905,3111,4058,4356,3462,2186,3861,564,10515,8834,9062,2380,5375,4851,3285,1995,3346,506
2015,"37",4372773,2253704,1717768,1611256,106512,108415,106031,106808,57827,153384,3471,2119069,1435525,1388738,46787,199195,147161,191185,43421,98992,3590,11414,7127,7476,7606,2792,2416,2338,2267,1912,2390,377,7728,6610,6892,1407,3404,2737,3139,1518,2192,419
2015,"38",387716,209375,147366,137829,9537,12128,11129,10002,6810,21308,632,178341,103538,100425,3113,28440,17372,12741,5518,10243,489,1820,1371,1660,1677,555,657,626,571,573,768,162,1259,1516,1443,363,1073,736,735,484,565,104
2015,"39",5366673,2770301,2145044,2042401,102643,158410,160737,82698,54484,165230,3698,2596372,1777664,1737391,40273,337650,224375,106600,44180,102194,3709,9749,6311,6967,7132,1992,2772,2836,2070,1608,2462,403,6384,6067,5888,1166,4063,2921,2105,1514,2112,353
2015,"40",1719541,922579,680904,638737,42167,40691,45183,44448,41386,68222,1745,796962,523720,506161,17559,71645,54683,78028,27844,39189,1853,4407,2594,2982,3008,1113,1229,1208,1087,1256,1295,311,3275,3212,3084,728,1625,1286,1668,664,1137,247
2015,"41",1789807,937742,694273,646079,48194,58881,51006,37557,20178,74497,1350,852065,533063,508226,24837,109403,70301,57590,15730,64402,1576,6425,3910,4091,3942,1636,1718,1663,1488,964,1872,229,4394,4355,4248,1151,2282,1938,1827,809,1810,291
2015,"42",6001889,3104353,2365259,2239671,125588,228489,140668,95583,68977,200971,4406,2897536,1980612,1936224,44388,460687,186841,107234,50265,107421,4476,11007,6804,6732,6937,2111,3167,2252,2002,1847,2546,437,6894,7195,7253,1204,4257,2818,1901,1467,1841,385
2015,"44",518170,263514,195545,183917,11628,20878,13831,9401,8349,15187,323,254656,172150,167447,4703,38044,18205,11604,4284,10162,207,3085,2046,2458,2301,704,971,958,611,702,938,123,2068,2114,2057,431,1157,813,787,390,656,90
