"year","state_fips","acs_educational_attainment_universe_estimate","acs_educational_attainment_male_estimate","acs_educational_attainment_male_no_school_estimate","acs_educational_attainment_male_prek_grade_4_estimate","acs_educational_attainment_male_grades_5_6_estimate","acs_educational_attainment_male_grades_7_8_estimate","acs_educational_attainment_male_grade_9_estimate","acs_educational_attainment_male_grade_10_estimate","acs_educational_attainment_male_grade_11_estimate","acs_educational_attainment_male_grade_12_no_diploma_estimate","acs_educational_attainment_male_hs_grad_ged_estimate","acs_educational_attainment_male_college_under_year_estimate","acs_educational_attainment_male_college_no_degree_estimate","acs_educational_attainment_male_associates_degree_estimate","acs_educational_attainment_male_bachelors_degree_estimate","acs_educational_attainment_male_masters_degree_estimate","acs_educational_attainment_male_professional_degree_estimate","acs_educational_attainment_male_doctorate_degree_estimate","acs_educational_attainment_female_estimate","acs_educational_attainment_female_no_school_estimate","acs_educational_attainment_female_prek_grade_4_estimate","acs_educational_attainment_female_grades_5_6_estimate","acs_educational_attainment_female_grades_7_8_estimate","acs_educational_attainment_female_grade_9_estimate","acs_educational_attainment_female_grade_10_estimate","acs_educational_attainment_female_grade_11_estimate","acs_educational_attainment_female_grade_12_no_diploma_estimate","acs_educational_attainment_female_hs_grad_ged_estimate","acs_educational_attainment_female_college_under_year_estimate","acs_educational_attainment_female_college_no_degree_estimate","acs_educational_attainment_female_associates_degree_estimate","acs_educational_attainment_female_bachelors_degree_estimate","acs_educational_attainment_female_masters_degree_estimate","acs_educational_attainment_female_professional_degree_estimate","acs_educational_attainment_female_doctorate_degree_estimate","acs_educational_attainment_universe_moe","acs_educational_attainment_male_moe","acs_educational_attainment_male_no_school_moe","acs_educational_attainment_male_prek_grade_4_moe","acs_educational_attainment_male_grades_5_6_moe","acs_educational_attainment_male_grades_7_8_moe","acs_educational_attainment_male_grade_9_moe","acs_educational_attainment_male_grade_10_moe","acs_educational_attainment_male_grade_11_moe","acs_educational_attainment_male_grade_12_no_diploma_moe","acs_educational_attainment_male_hs_grad_ged_moe","acs_educational_attainment_male_college_under_year_moe","acs_educational_attainment_male_college_no_degree_moe","acs_educational_attainment_male_associates_degree_moe","acs_educational_attainment_male_bachelors_degree_moe","acs_educational_attainment_male_masters_degree_moe","acs_educational_attainment_male_professional_degree_moe","acs_educational_attainment_male_doctorate_degree_moe","acs_educational_attainment_female_moe","acs_educational_attainment_female_no_school_moe","acs_educational_attainment_female_prek_grade_4_moe","acs_educational_attainment_female_grades_5_6_moe","acs_educational_attainment_female_grades_7_8_moe","acs_educational_attainment_female_grade_9_moe","acs_educational_attainment_female_grade_10_moe","acs_educational_attainment_female_grade_11_moe","acs_educational_attainment_female_grade_12_no_diploma_moe","acs_educational_attainment_female_hs_grad_ged_moe","acs_educational_attainment_female_college_under_year_moe","acs_educational_attainment_female_college_no_degree_moe","acs_educational_attainment_female_associates_degree_moe","acs_educational_attainment_female_bachelors_degree_moe","acs_educational_attainment_female_masters_degree_moe","acs_educational_attainment_female_professional_degree_moe","acs_educational_attainment_female_doctorate_degree_moe"
1950,"02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
