"year","state_fips","saipe_5_to_17_in_families_poverty_count","saipe_under_19_poverty_count","saipe_total_poverty_count","saipe_total_poverty_universe","saipe_5_to_17_in_families_poverty_universe","saipe_under_19_poverty_universe","saipe_total_poverty_count_moe","saipe_5_to_17_in_families_poverty_count_moe","saipe_under_19_poverty_count_moe","saipe_total_poverty_rate","saipe_5_to_17_in_families_poverty_rate","saipe_under_19_poverty_rate","saipe_total_poverty_rate_moe","saipe_5_to_17_in_families_poverty_rate_moe","saipe_under_19_poverty_rate_moe","acs_poverty_status_universe_estimate","acs_poverty_status_in_poverty_estimate","acs_poverty_status_not_in_poverty_estimate","acs_poverty_status_white_total_estimate","acs_poverty_status_white_in_poverty_estimate","acs_poverty_status_white_not_in_poverty_estimate","acs_poverty_status_black_total_estimate","acs_poverty_status_black_in_poverty_estimate","acs_poverty_status_black_not_in_poverty_estimate","acs_poverty_status_native_total_estimate","acs_poverty_status_native_in_poverty_estimate","acs_poverty_status_native_not_in_poverty_estimate","acs_poverty_status_asian_total_estimate","acs_poverty_status_asian_in_poverty_estimate","acs_poverty_status_asian_not_in_poverty_estimate","acs_poverty_status_pacific_islander_total_estimate","acs_poverty_status_pacific_islander_in_poverty_estimate","acs_poverty_status_pacific_islander_not_in_poverty_estimate","acs_poverty_status_other_race_total_estimate","acs_poverty_status_other_race_in_poverty_estimate","acs_poverty_status_other_race_not_in_poverty_estimate","acs_poverty_status_multiple_races_total_estimate","acs_poverty_status_multiple_races_in_poverty_estimate","acs_poverty_status_multiple_races_not_in_poverty_estimate","acs_poverty_status_white_not_latine_total_estimate","acs_poverty_status_white_not_latine_in_poverty_estimate","acs_poverty_status_white_not_latine_not_in_poverty_estimate","acs_poverty_status_latine_total_estimate","acs_poverty_status_latine_in_poverty_estimate","acs_poverty_status_latine_not_in_poverty_estimate","acs_poverty_status_universe_moe","acs_poverty_status_in_poverty_moe","acs_poverty_status_not_in_poverty_moe","acs_poverty_status_white_total_moe","acs_poverty_status_white_in_poverty_moe","acs_poverty_status_white_not_in_poverty_moe","acs_poverty_status_black_total_moe","acs_poverty_status_black_in_poverty_moe","acs_poverty_status_black_not_in_poverty_moe","acs_poverty_status_native_total_moe","acs_poverty_status_native_in_poverty_moe","acs_poverty_status_native_not_in_poverty_moe","acs_poverty_status_asian_total_moe","acs_poverty_status_asian_in_poverty_moe","acs_poverty_status_asian_not_in_poverty_moe","acs_poverty_status_pacific_islander_total_moe","acs_poverty_status_pacific_islander_in_poverty_moe","acs_poverty_status_pacific_islander_not_in_poverty_moe","acs_poverty_status_other_race_total_moe","acs_poverty_status_other_race_in_poverty_moe","acs_poverty_status_other_race_not_in_poverty_moe","acs_poverty_status_multiple_races_total_moe","acs_poverty_status_multiple_races_in_poverty_moe","acs_poverty_status_multiple_races_not_in_poverty_moe","acs_poverty_status_white_not_latine_total_moe","acs_poverty_status_white_not_latine_in_poverty_moe","acs_poverty_status_white_not_latine_not_in_poverty_moe","acs_poverty_status_latine_total_moe","acs_poverty_status_latine_in_poverty_moe","acs_poverty_status_latine_not_in_poverty_moe"
2016,"16",47196,71839,228036,1652581,315609,431581,8601.4497,2800.03946,3838.08728,13.8,14.95,16.65,0.52049,0.88719,0.88931,1604369,244585,1359784,1465635,210282,1255353,9833,2798,7035,20461,6003,14458,21100,3342,17758,1895,494,1401,44483,11857,32626,40962,9809,31153,1332412,178129,1154283,190938,47497,143441,724,7073,7151,3460,6724,6339,711,677,703,1079,776,954,1045,634,1069,314,179,310,3085,1552,2740,1747,1327,1466,889,5901,6019,494,3290,3320
2016,"17",356538,512258,1620973,12502037,2120260,2885948,28092.73556,10153.30429,13634.37032,12.97,16.82,17.75,0.22471,0.47887,0.47244,12548538,1753731,10794807,9077481,937195,8140286,1758582,522577,1236005,28752,6067,22685,642362,75733,566629,4012,506,3506,745769,158066,587703,291580,53587,237993,7827787,705896,7121891,2101481,411749,1689732,1537,19097,19320,9613,12926,16066,4344,8525,7718,1985,832,1732,2700,2622,3430,454,154,438,9848,5819,9187,5802,2231,5371,2584,10220,10858,1335,8518,8565
2016,"18",201287,294902,899166,6432847,1124171,1541922,17371.44424,6403.78341,8411.73502,13.98,17.91,19.13,0.27004,0.56964,0.54554,6388926,957694,5431232,5379471,667724,4711747,579792,178995,400797,15246,3106,12140,123408,25944,97464,2660,674,1986,148770,45147,103623,139579,36104,103475,5135927,606916,4529011,418980,113714,305266,1577,11628,12071,3921,9635,10666,3037,4556,4536,1044,488,1003,1708,1838,2054,441,231,418,4335,3196,3930,4273,1914,3634,2015,8633,9028,721,3661,3678
2016,"19",67487,104344,354430,3031269,517684,715117,8574.18871,2662.39272,3603.2885,11.69,13.04,14.59,0.28286,0.51429,0.50387,3005808,369828,2635980,2737334,298673,2438661,95930,33314,62616,9479,2906,6573,64247,11781,52466,2363,638,1725,38045,8875,29170,58410,13641,44769,2618929,270745,2348184,167387,39931,127456,969,6112,6340,2649,5763,6155,1451,2027,2050,627,449,515,1173,972,1214,231,224,305,2344,1111,2016,1781,1008,1653,1079,5237,5419,477,2298,2382
2016,"20",67810,101000,343768,2825884,511932,704944,9275.47524,3299.99864,4509.12752,12.16,13.25,14.33,0.32823,0.64462,0.63964,2816191,373162,2443029,2405857,283494,2122363,157441,38961,118480,22529,4515,18014,75451,11671,63780,1667,361,1306,61357,14680,46677,91889,19480,72409,2169741,226702,1943039,319898,76261,243637,715,7122,7283,3180,6131,6105,1892,1979,2606,1016,522,836,1045,1283,1519,230,198,245,2996,1423,2204,2722,1309,2700,968,4909,5103,469,3055,3126
2016,"21",164086,241237,782773,4298985,713059,987274,14319.64528,4607.24766,6241.22856,18.21,23.01,24.43,0.33309,0.64612,0.63217,4275202,804139,3471063,3753385,651162,3102223,328173,102693,225480,8479,2554,5925,55666,8647,47019,2471,565,1906,38943,13405,25538,88085,25113,62972,3663140,624625,3038515,141274,43738,97536,1329,12031,12029,2988,10689,10689,2417,3414,3269,800,461,612,1126,896,1392,366,269,331,2032,1301,1742,2611,1637,2321,1565,10213,10272,758,2171,2032
2016,"22",214016,310397,911969,4546072,785297,1093191,19702.70185,6936.34104,9212.19523,20.06,27.25,28.39,0.4334,0.88328,0.84269,4514625,889570,3625055,2846481,362341,2484140,1433527,474354,959173,25696,6049,19647,77434,13640,63794,1392,191,1201,48039,12565,35474,82056,20430,61626,2695853,329588,2366265,215937,49071,166866,1173,12394,12241,3197,7607,7868,3017,6611,7235,1008,834,1198,1067,1371,1468,238,89,248,2785,1683,2629,3083,1761,2474,1517,6880,7153,612,2600,2582
2016,"23",28137,41427,159522,1295968,183855,248229,7217.18907,1904.33952,2592.77323,12.31,15.3,16.69,0.5569,1.03578,1.04451,1294446,174405,1120041,1228940,155760,1073180,15103,6479,8624,7695,2715,4980,13864,2278,11586,207,69,138,2938,458,2480,25699,6646,19053,1215768,152908,1062860,18649,4147,14502,683,4477,4397,1003,4034,4050,632,805,911,466,337,443,530,484,675,72,47,55,607,168,552,807,703,748,806,3896,3864,193,501,546
2016,"24",117468,172865,572786,5874984,964428,1328920,19899.21722,6688.87853,9016.65747,9.75,12.18,13.01,0.33871,0.69356,0.6785,5819563,576835,5242728,3336049,241466,3094583,1712396,251139,1461257,15441,2057,13384,356750,28159,328591,2521,293,2228,215022,31966,183056,181384,21755,159629,3061134,205165,2855969,540285,75664,464621,1188,9530,9848,4759,5885,7922,3949,6189,7227,1137,489,1079,2304,1726,2744,264,131,299,5097,2475,4981,4452,1672,4160,1613,5160,5694,794,3466,3527
2016,"25",123789,184610,688367,6574253,997492,1357082,20243.78868,5638.80138,7674.6138,10.47,12.41,13.6,0.30793,0.5653,0.56552,6506029,740836,5765193,5169386,461993,4707393,467354,101294,366060,13517,3016,10501,391290,55870,335420,1846,291,1555,268698,81515,187183,193938,36857,157081,4808630,367908,4440722,705799,201453,504346,1399,10359,10337,6097,7745,8936,3695,3946,4889,1077,561,969,2362,2655,2961,306,151,280,6356,4473,4773,4630,1840,4408,2897,6424,6957,1125,5285,5487
