"year","state_fips","acs_public_assistance_universe_estimate","acs_public_assistance_with_assistance_estimate","acs_public_assistance_without_assistance_estimate","acs_public_assistance_children_universe_estimate","acs_public_assistance_children_in_household_with_assistance_total_estimate","acs_public_assistance_children_in_family_household_with_assistance_estimate","acs_public_assistance_children_in_married_family_household_with_assistance_estimate","acs_public_assistance_children_in_male_head_family_household_with_assistance_estimate","acs_public_assistance_children_in_female_head_family_household_with_assistance_estimate","acs_public_assistance_children_in_nonfamily_household_with_assistance_estimate","acs_public_assistance_children_in_household_without_assistance_total_estimate","acs_public_assistance_children_in_family_household_without_assistance_estimate","acs_public_assistance_children_in_married_family_household_without_assistance_estimate","acs_public_assistance_children_in_male_head_family_household_without_assistance_estimate","acs_public_assistance_children_in_female_head_family_household_without_assistance_estimate","acs_public_assistance_children_in_nonfamily_household_without_assistance_estimate","acs_public_assistance_food_stamps_universe_estimate","acs_public_assistance_food_stamps_with_assistance_estimate","acs_public_assistance_food_stamps_without_assistance_estimate","acs_public_assistance_universe_moe","acs_public_assistance_with_assistance_moe","acs_public_assistance_without_assistance_moe","acs_public_assistance_children_universe_moe","acs_public_assistance_children_in_household_with_assistance_total_moe","acs_public_assistance_children_in_family_household_with_assistance_moe","acs_public_assistance_children_in_married_family_household_with_assistance_moe","acs_public_assistance_children_in_male_head_family_household_with_assistance_moe","acs_public_assistance_children_in_female_head_family_household_with_assistance_moe","acs_public_assistance_children_in_nonfamily_household_with_assistance_moe","acs_public_assistance_children_in_household_without_assistance_total_moe","acs_public_assistance_children_in_family_household_without_assistance_moe","acs_public_assistance_children_in_married_family_household_without_assistance_moe","acs_public_assistance_children_in_male_head_family_household_without_assistance_moe","acs_public_assistance_children_in_female_head_family_household_without_assistance_moe","acs_public_assistance_children_in_nonfamily_household_without_assistance_moe","acs_public_assistance_food_stamps_universe_moe","acs_public_assistance_food_stamps_with_assistance_moe","acs_public_assistance_food_stamps_without_assistance_moe"
2019,"17",4846134,109539,4736595,2886391,737056,731110,277174,72310,381626,5946,2149335,2138325,1660846,143857,333622,11010,4846134,647820,4198314,10459,2244,9845,752,9460,9435,6037,3260,7257,640,9372,9328,11491,4631,5588,916,10459,4661,12048
2019,"18",2570419,41964,2528455,1567260,352903,347728,127268,35107,185353,5175,1214357,1204201,904914,98984,200303,10156,2570419,263829,2306590,7538,1264,7245,673,6767,6745,4434,2542,5007,698,6536,6668,8514,3428,5126,889,7538,3032,8566
2019,"19",1265473,24669,1240804,725767,156917,154976,61457,17742,75777,1941,568850,565506,447028,43624,74854,3344,1265473,137299,1128174,4009,929,3778,534,3719,3698,2636,1492,2422,316,3587,3533,4364,1954,2618,454,4009,2222,4550
2019,"20",1129227,17552,1111675,709154,118514,117564,47446,13360,56758,950,590640,586591,457031,42102,87458,4049,1129227,90973,1038254,4275,832,4279,505,3338,3328,2363,1258,2247,254,3357,3401,4343,1727,2624,514,4275,1460,4586
2019,"21",1734618,31776,1702842,1006026,282872,278857,114412,26186,138259,4015,723154,715774,541929,56166,117679,7380,1734618,251519,1483099,4886,1060,4932,923,6374,6351,3630,1684,4838,551,6216,6147,6634,2379,2809,920,4886,3179,6218
2019,"22",1739497,30406,1709091,1101365,359106,356121,99081,30553,226487,2985,742259,737208,523321,59556,154331,5051,1739497,274435,1465062,5804,1294,5922,751,6063,6043,4100,1921,5821,762,6021,5994,5979,3307,4993,820,5804,3579,6525
2019,"23",559921,16729,543192,251227,61890,60470,26900,8119,25451,1420,189337,187544,144092,16062,27390,1793,559921,79615,480306,2546,886,2474,310,2274,2225,1581,1070,1567,378,2208,2218,2371,1194,1360,329,2546,1953,2948
2019,"24",2205204,48270,2156934,1339094,282496,279705,99358,27790,152557,2791,1056598,1050285,793220,74491,182574,6313,2205204,238603,1966601,5389,1507,5606,349,5850,5829,3967,2070,4424,718,5919,5966,6391,3395,3780,694,5389,3055,6801
2019,"25",2617497,69797,2547700,1365804,288455,286245,94290,22455,169500,2210,1077349,1071235,844052,63082,164101,6114,2617497,325563,2291934,4909,1872,4912,573,5560,5561,2978,1744,4797,492,5676,5756,6922,2721,3988,771,4909,3758,6209
2019,"26",3935041,92166,3842875,2171988,574286,566833,208615,61178,297040,7453,1597702,1587038,1214374,121913,250751,10664,3935041,545215,3389826,8563,1926,8000,502,7025,6970,4016,2970,6355,866,6960,7125,8760,3383,4246,936,8563,4599,10019
2019,"27",2185603,71680,2113923,1291435,225893,223631,93216,22919,107496,2262,1065542,1057599,829826,82831,144942,7943,2185603,190756,1994847,5103,1608,5464,487,5430,5448,3828,1535,3463,333,5400,5515,6178,2185,3138,773,5103,2507,6299
2019,"28",1104394,22580,1081814,710965,240173,238483,68839,17921,151723,1690,470792,467842,329789,31178,106875,2950,1104394,175581,928813,4685,1105,4781,526,4669,4619,2778,1601,4443,450,4556,4515,4811,1793,3746,667,4685,3319,5401
2019,"29",2414521,43475,2371046,1376068,330081,324950,119665,34210,171075,5131,1045987,1038210,792411,78696,167103,7777,2414521,280774,2133747,5679,1499,5542,754,6198,6232,3666,2236,5041,930,5994,6205,7333,3119,4065,888,5679,3669,7178
2019,"30",427871,9596,418275,226778,46945,46371,22060,5843,18468,574,179833,178476,143081,13429,21966,1357,427871,42532,385339,1682,631,1745,458,1772,1730,1457,779,1202,268,1799,1874,2109,957,1226,388,1682,1283,1913
2019,"31",759176,12983,746193,472032,89355,87858,35437,8940,43481,1497,382677,379919,302636,25708,51575,2758,759176,66990,692186,2333,783,2227,528,2636,2624,1689,938,2189,323,2601,2662,3454,1482,2196,467,2333,1463,2717
2019,"32",1098602,31657,1066945,679728,175163,173313,70337,21863,81113,1850,504565,500241,352823,51220,96198,4324,1098602,139182,959420,3380,1216,3438,225,4005,3930,3233,1915,3731,396,4018,3977,4800,2616,3110,573,3380,2531,4165
2019,"33",532037,12870,519167,259295,42298,41535,17568,5125,18842,763,216997,214987,168435,16205,30347,2010,532037,41102,490935,2311,910,2419,226,2205,2221,1486,807,1554,260,2208,2142,2598,1189,1623,366,2311,1598,2601
2019,"34",3231874,61762,3170112,1956196,364624,362694,150732,32178,179784,1930,1591572,1584960,1235038,95042,254880,6612,3231874,300686,2931188,7167,1646,7039,465,7102,6892,5329,2157,5535,578,7108,7195,8840,3445,5402,901,7167,3837,8217
2019,"35",780249,24884,755365,487030,176699,175651,74219,20668,80764,1048,310331,308284,215989,30680,61615,2047,780249,138964,641285,3071,1242,3133,387,3548,3505,3400,1806,3063,351,3521,3613,3872,2176,2631,504,3071,2566,3756
2019,"36",7343234,248401,7094833,4085294,1072120,1063664,432598,93067,537999,8456,3013174,2994929,2251586,202360,540983,18245,7343234,1134192,6209042,14943,3618,14983,1316,9833,9857,7110,4024,7651,925,9648,9595,12236,4340,6536,1342,14943,5402,16509
2019,"37",3965482,63625,3901857,2291529,614790,609069,217232,58388,333449,5721,1676739,1665809,1254029,120071,291709,10930,3965482,515307,3450175,10327,1901,10226,803,8808,8812,6284,3029,7276,786,8637,8717,9550,4230,6266,1104,10327,4924,11951
2019,"38",318322,6130,312192,175214,25704,25467,8906,3397,13164,237,149510,148279,117819,11864,18596,1231,318322,23260,295062,1899,577,2020,333,1506,1494,986,622,1036,122,1476,1515,2211,1240,1234,360,1899,1038,2119
2019,"39",4676358,134085,4542273,2600075,682715,673631,219625,69078,384928,9084,1917360,1902031,1428731,151754,321546,15329,4676358,640972,4035386,10659,2640,11322,614,9435,9331,5358,3019,7575,950,9301,9440,12395,4188,5890,1134,10659,5008,13117
2019,"40",1480061,42013,1438048,954283,252414,249685,97216,27460,125009,2729,701869,696947,526857,56096,113994,4922,1480061,199691,1280370,2803,1057,2959,527,3738,3699,2710,1577,2979,378,3724,3773,3898,1934,2666,430,2803,2244,3598
2019,"41",1611982,56819,1555163,864968,245977,242396,117961,25216,99219,3581,618991,614834,487875,44916,82043,4157,1611982,266512,1345470,3890,1538,4171,438,5060,5092,4998,1684,3666,719,5015,5034,5822,2439,3010,588,3890,3382,5487
2019,"42",5053106,159879,4893227,2651425,705813,699154,238067,74265,386822,6659,1945612,1933368,1505506,137848,290014,12244,5053106,707995,4345111,9552,2392,9141,589,9554,9506,5492,3149,7341,778,9565,9531,11234,4346,4764,1096,9552,6218,12473
2019,"44",410489,16482,394007,206637,55723,55254,19045,4786,31423,469,150914,149983,112332,10819,26832,931,410489,66560,343929,1970,1084,1971,244,2271,2252,1751,901,1964,222,2343,2333,2563,1009,1440,328,1970,1746,2234
2019,"45",1921862,26141,1895721,1099260,313963,311457,103661,24871,182925,2506,785297,779526,574406,51466,153654,5771,1921862,244449,1677413,5983,1058,5812,405,6123,6124,3877,2002,4902,535,6052,6215,6716,2812,3427,901,5983,3292,6344
2019,"46",344397,7092,337305,212754,49472,48867,17912,5003,25952,605,163282,161826,127080,12590,22156,1456,344397,34026,310371,1938,444,1956,445,1862,1847,1514,585,1621,246,1833,1869,1852,1016,1258,338,1938,921,2217
2019,"47",2597292,52773,2544519,1501781,428702,423228,161624,42686,218918,5474,1073079,1067060,801057,78243,187760,6019,2597292,363356,2233936,6331,1608,6076,860,7728,7736,4596,2641,4950,848,7676,7604,8749,3673,4792,827,6331,4076,7869
2019,"48",9691647,139144,9552503,7323403,1970011,1958158,857159,159515,941484,11853,5353392,5326077,4043791,362208,920078,27315,9691647,1181623,8510024,18858,3420,17192,1280,18451,18465,11319,5886,13675,1414,18181,18230,25361,8116,12209,1676,18858,7621,20570
2019,"49",977313,14671,962642,920506,124710,123495,67714,10481,45300,1215,795796,792835,681843,37776,73216,2961,977313,71012,906301,2381,893,2480,368,4172,4222,3107,1360,2673,355,4135,4228,5421,2141,3083,516,2381,1520,2981
2019,"50",260029,8592,251437,116165,24823,24513,10474,3529,10510,310,91342,90593,69621,7565,13407,749,260029,31600,228429,1329,517,1437,167,1421,1422,1016,620,1046,143,1433,1476,1472,847,982,187,1329,1037,1733
2019,"51",3151045,59002,3092043,1861282,349286,345023,124938,32460,187625,4263,1511996,1501756,1171135,95213,235408,10240,3151045,275608,2875437,7497,1686,7597,1038,6830,6767,3917,2347,5951,696,6662,6765,8547,3366,4763,865,7497,3535,8446
2019,"53",2848396,85956,2762440,1641086,363967,360454,168322,40537,151595,3513,1277119,1268974,1009853,91215,167906,8145,2848396,359435,2488961,5857,2062,6070,523,7560,7618,5238,2474,4883,502,7538,7495,8455,3123,3871,710,5857,4445,7817
2019,"54",732585,19342,713243,368003,123870,122013,54957,14527,52529,1857,244133,241723,185786,19401,36536,2410,732585,127378,605207,2601,865,2732,592,3414,3372,2495,1243,2370,483,3343,3352,3442,1235,1659,406,2601,2344,3323
2019,"55",2358156,44838,2313318,1279191,287542,283758,104866,32970,145922,3784,991649,983410,766623,80620,136167,8239,2358156,268416,2089740,7031,1181,6799,493,5321,5164,3549,2288,3992,513,5175,5269,6438,2602,3252,746,7031,3010,7804
2019,"56",230101,3620,226481,135751,18219,18099,8083,2379,7637,120,117532,116675,91586,9719,15370,857,230101,13803,216298,1458,384,1459,459,1299,1289,963,503,985,71,1337,1358,1875,1046,1297,229,1458,748,1590
2020,"01",1888504,29976,1858528,1090725,316248,313344,102055,25895,185394,2904,774477,770463,582728,48194,139541,4014,1888504,259588,1628916,5749,1400,5999,556,5540,5497,3565,2288,4326,633,5558,5611,6014,2634,3860,689,5749,3763,6542
2020,"02",255173,15625,239548,182838,41086,40776,21320,4978,14478,310,141752,140847,108337,11817,20693,905,255173,32882,222291,1326,789,1540,247,1994,1974,1917,764,1400,125,2023,2036,2355,939,1565,215,1326,1189,1679
2020,"04",2643430,47592,2595838,1636256,429145,425328,177812,46559,200957,3817,1207111,1198584,871305,111213,216066,8527,2643430,296277,2347153,6290,2176,6528,380,7889,7807,4829,3034,6240,962,7955,7957,8985,4756,5422,1200,6290,4691,8084
2020,"05",1170544,21461,1149083,700386,178347,176071,68137,16080,91854,2276,522039,518743,383779,34510,100454,3296,1170544,142849,1027695,4411,1230,4344,577,4514,4472,3243,1513,3661,542,4579,4655,5042,2120,3087,586,4411,2634,4686
2020,"06",13103114,437677,12665437,8935169,2138097,2123786,1040954,214825,868007,14311,6797072,6762789,5122997,543772,1096020,34283,13103114,1342483,11760631,18542,5823,18443,1039,20494,20133,12984,6138,15283,1463,20704,21023,24199,9858,11686,2091,18542,9897,21231
2020,"08",2137402,45838,2091564,1256103,204655,202313,93073,19934,89306,2342,1051448,1045437,821380,76444,147613,6011,2137402,171884,1965518,4703,1829,4970,649,5136,5152,3742,1804,4062,662,5169,5179,6281,3429,4985,771,4703,3549,6073
2020,"09",1385437,46390,1339047,733895,144886,143943,45297,11666,86980,943,589009,586345,446528,41941,97876,2664,1385437,172078,1213359,3268,1856,3814,283,4119,4134,2435,1544,3753,358,4127,4093,4460,2229,3407,512,3268,3456,4380
