"year","state_fips","acs_employment_status_black_male_16_64_in_labor_force_estimate","acs_employment_status_black_male_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_black_male_16_64_in_labor_force_civilian_estimate","acs_employment_status_black_male_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_black_male_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_black_male_16_64_not_in_labor_force_estimate","acs_employment_status_black_male_65_plus_in_labor_force_estimate","acs_employment_status_black_male_65_plus_in_labor_force_employed_estimate","acs_employment_status_black_male_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_black_male_65_plus_not_in_labor_force_estimate","acs_employment_status_black_female_16_64_in_labor_force_estimate","acs_employment_status_black_female_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_black_female_16_64_in_labor_force_civilian_estimate","acs_employment_status_black_female_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_black_female_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_black_female_16_64_not_in_labor_force_estimate","acs_employment_status_black_female_65_plus_in_labor_force_estimate","acs_employment_status_black_female_65_plus_in_labor_force_employed_estimate","acs_employment_status_black_female_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_black_female_65_plus_not_in_labor_force_estimate","acs_employment_status_black_male_16_64_in_labor_force_moe","acs_employment_status_black_male_16_64_in_labor_force_armed_forces_moe","acs_employment_status_black_male_16_64_in_labor_force_civilian_moe","acs_employment_status_black_male_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_black_male_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_black_male_16_64_not_in_labor_force_moe","acs_employment_status_black_male_65_plus_in_labor_force_moe","acs_employment_status_black_male_65_plus_in_labor_force_employed_moe","acs_employment_status_black_male_65_plus_in_labor_force_unemployed_moe","acs_employment_status_black_male_65_plus_not_in_labor_force_moe","acs_employment_status_black_female_16_64_in_labor_force_moe","acs_employment_status_black_female_16_64_in_labor_force_armed_forces_moe","acs_employment_status_black_female_16_64_in_labor_force_civilian_moe","acs_employment_status_black_female_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_black_female_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_black_female_16_64_not_in_labor_force_moe","acs_employment_status_black_female_65_plus_in_labor_force_moe","acs_employment_status_black_female_65_plus_in_labor_force_employed_moe","acs_employment_status_black_female_65_plus_in_labor_force_unemployed_moe","acs_employment_status_black_female_65_plus_not_in_labor_force_moe"
2013,"49",8289,184,8105,7097,1008,3046,84,84,0,550,4793,43,4750,3954,796,2703,125,125,0,490,455,106,436,476,243,348,53,53,27,110,459,22,461,467,200,337,73,73,27,99
2013,"50",1822,0,1822,1464,358,692,52,52,0,84,1251,10,1241,1051,190,611,4,4,0,143,149,22,149,200,143,118,36,36,22,46,159,17,157,160,83,118,6,6,22,55
2013,"51",365914,17334,348580,299164,49416,145859,12415,11578,837,49283,411021,4981,406040,362284,43756,144434,12530,11995,535,79471,2457,1093,2685,2692,2048,2252,516,528,222,652,2631,498,2685,2914,1734,2366,594,576,145,687
2013,"53",69560,4491,65069,54434,10635,26233,1557,1413,144,5888,51483,1242,50241,43589,6652,24206,961,903,58,7547,1369,516,1302,1199,919,1088,257,245,85,246,1221,314,1203,1260,709,1062,171,161,39,262
2013,"54",12073,28,12045,10137,1908,11857,405,387,18,2045,10555,0,10555,9464,1091,6859,430,427,3,3542,550,29,552,548,316,622,139,137,22,172,546,27,546,525,204,602,131,131,5,207
2013,"55",66569,120,66449,49747,16702,46432,1649,1512,137,7160,81533,1,81532,67002,14530,36780,1888,1714,174,11155,1238,78,1248,1163,771,1232,201,197,83,241,1199,3,1199,1187,890,1029,204,202,68,231
2013,"56",1788,316,1472,1173,299,748,0,0,0,180,1035,96,939,895,44,307,0,0,0,117,257,155,263,241,148,227,27,27,27,71,233,104,237,231,45,102,27,27,27,64
2014,"01",247017,1579,245438,202615,42823,145610,7264,6697,567,41758,304544,544,304000,257688,46312,152787,8190,7577,613,68168,2297,297,2342,2394,1602,2404,518,488,148,540,2034,161,2038,2400,1676,1985,518,527,120,529
2014,"02",9088,1244,7844,6631,1213,1968,138,138,0,393,5658,466,5192,4784,408,1417,145,145,0,637,431,289,495,473,303,298,84,84,22,111,387,148,408,393,137,296,89,89,22,114
2014,"04",68102,1299,66803,56671,10132,31132,1682,1350,332,7278,58894,223,58671,50500,8171,27636,1599,1435,164,9359,1091,296,1083,976,900,1151,283,229,174,319,1423,111,1434,1417,799,1152,252,217,107,291
2014,"05",88577,374,88203,71761,16442,53555,2810,2606,204,13334,106288,153,106135,91721,14414,51507,2880,2712,168,21045,1486,150,1509,1544,996,1463,258,252,87,303,1264,103,1255,1467,883,1238,276,273,77,322
2014,"06",505391,11527,493864,398910,94954,272072,20515,18146,2369,80618,522058,2258,519800,431293,88507,255746,18739,16855,1884,120796,3864,927,3988,3793,2453,3407,809,790,330,856,3680,365,3665,3739,2204,3445,859,845,237,931
2014,"08",56533,2447,54086,46015,8071,23071,1639,1530,109,5512,46895,517,46378,39515,6863,17931,1149,1079,70,7675,1215,432,1215,1390,809,927,243,240,64,305,1021,156,1021,1057,629,928,188,188,36,268
2014,"09",88896,435,88461,69928,18533,30441,3241,3068,173,9607,98742,212,98530,84241,14289,30390,4323,3797,526,16274,1324,174,1349,1393,890,1031,320,329,80,345,1344,141,1345,1528,838,1395,334,328,170,400
2014,"10",43018,439,42579,36676,5903,18360,1776,1710,66,6002,51518,153,51365,45776,5589,18935,1663,1581,82,9347,837,170,869,994,610,825,240,238,42,248,805,105,812,808,523,817,244,232,45,274
2014,"11",64466,390,64076,49309,14767,31674,3154,2909,245,13088,77841,35,77806,63927,13879,36986,3704,3535,169,23825,992,146,1004,1001,853,905,275,277,70,266,1166,30,1168,1336,870,1073,314,321,52,355
2014,"12",670414,6413,664001,536822,127179,327450,22448,19641,2807,94621,771774,1898,769876,647736,122140,308464,22608,20350,2258,145071,4012,656,4082,4523,3028,3938,889,861,351,1075,4529,372,4501,4557,3026,4330,1061,974,352,1255
2014,"13",654650,7169,647481,532941,114540,305841,16256,14418,1838,77952,779097,1856,777241,658304,118937,326218,17357,16001,1356,130095,3650,630,3623,4146,2595,3768,848,759,348,963,3456,316,3488,3579,2587,3539,805,833,234,1006
2014,"15",11100,4464,6636,6007,629,2004,266,259,7,485,5042,727,4315,3674,641,2035,103,103,0,321,547,447,522,502,197,333,94,96,11,118,403,180,367,355,177,328,53,53,26,73
2014,"16",2834,169,2665,2316,349,1016,98,98,0,131,1575,18,1557,1237,320,943,0,0,0,137,343,104,327,312,156,253,104,104,27,73,289,16,290,224,158,273,27,27,27,62
2014,"17",365852,2016,363836,276976,86860,209381,11899,10763,1136,62572,453176,527,452649,363403,89246,199254,14714,13427,1287,102449,2834,552,2934,2716,2573,2812,657,661,214,655,3242,226,3208,3161,2030,2990,667,625,204,746
2014,"18",120747,176,120571,96874,23697,66632,3392,3073,319,17263,143369,43,143326,118759,24567,60132,4013,3636,377,27044,1681,90,1695,1823,1121,1619,280,275,99,374,1586,51,1587,1797,1071,1473,417,398,133,559
2014,"19",22317,43,22274,18935,3339,10831,545,410,135,1451,19365,38,19327,16509,2818,8894,436,436,0,2212,717,45,714,789,458,809,136,129,87,168,634,39,633,630,380,587,117,117,22,156
2014,"20",39859,2129,37730,31844,5886,18999,1118,1037,81,4676,38843,486,38357,32682,5675,13882,1126,1092,34,7377,826,342,834,859,513,944,203,196,49,245,754,179,754,691,534,710,182,180,22,272
2014,"21",76076,2232,73844,61580,12264,41129,2099,1934,165,10154,83141,296,82845,70222,12623,33846,1997,1894,103,16287,1094,338,1133,1112,796,1215,280,262,93,323,1194,104,1198,1302,785,1134,266,265,53,364
2014,"22",285166,1619,283547,237339,46208,173707,8802,8313,489,45824,345840,396,345444,302403,43041,164978,10360,9672,688,71339,2683,303,2748,2668,1606,2665,461,468,111,493,2510,130,2498,2293,1558,2427,477,485,158,511
2014,"23",3671,60,3611,3004,607,1927,62,62,0,243,2382,2,2380,1965,415,1395,39,36,3,148,316,65,328,325,139,282,42,42,23,75,235,4,236,259,132,188,35,35,4,64
2014,"24",411431,2370,409061,350709,58352,137284,15953,14616,1337,51107,492178,1102,491076,436726,54350,144859,18208,16683,1525,84673,2984,320,2992,3110,1813,2598,753,729,280,763,2548,250,2571,2571,1788,2470,767,744,316,773
2014,"25",114730,239,114491,96877,17614,39223,4043,3701,342,11200,123082,92,122990,105371,17619,41096,3425,3205,220,20173,1698,122,1694,1605,950,1137,374,364,114,494,1639,76,1643,1678,878,1431,379,380,98,508
2014,"26",263435,388,263047,193388,69659,172386,6685,5714,971,49811,323831,68,323763,257390,66373,158736,8972,8094,878,76947,2440,127,2418,2514,2168,2569,437,371,191,486,2577,35,2569,2542,1587,2372,462,429,156,487
2014,"27",69559,64,69495,57620,11875,28855,1210,1170,40,4016,65777,0,65777,55253,10524,25659,833,777,56,6022,1133,44,1138,1262,774,1151,229,233,36,253,1063,20,1063,1188,715,1032,162,158,37,224
2014,"28",210407,1252,209155,170884,38271,129024,5356,4954,402,34247,254893,504,254389,213841,40548,133971,5410,5028,382,54278,1998,271,2021,2210,1546,1949,424,411,116,447,2309,186,2316,2245,1309,2446,432,430,104,493
