"year","state_fips","acs_employment_status_white_not_latine_male_16_64_in_labor_force_estimate","acs_employment_status_white_not_latine_male_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_white_not_latine_male_16_64_in_labor_force_civilian_estimate","acs_employment_status_white_not_latine_male_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_white_not_latine_male_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_white_not_latine_male_16_64_not_in_labor_force_estimate","acs_employment_status_white_not_latine_male_65_plus_in_labor_force_estimate","acs_employment_status_white_not_latine_male_65_plus_in_labor_force_employed_estimate","acs_employment_status_white_not_latine_male_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_white_not_latine_male_65_plus_not_in_labor_force_estimate","acs_employment_status_white_not_latine_female_16_64_in_labor_force_estimate","acs_employment_status_white_not_latine_female_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_white_not_latine_female_16_64_in_labor_force_civilian_estimate","acs_employment_status_white_not_latine_female_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_white_not_latine_female_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_white_not_latine_female_16_64_not_in_labor_force_estimate","acs_employment_status_white_not_latine_female_65_plus_in_labor_force_estimate","acs_employment_status_white_not_latine_female_65_plus_in_labor_force_employed_estimate","acs_employment_status_white_not_latine_female_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_white_not_latine_female_65_plus_not_in_labor_force_estimate","acs_employment_status_white_not_latine_male_16_64_in_labor_force_moe","acs_employment_status_white_not_latine_male_16_64_in_labor_force_armed_forces_moe","acs_employment_status_white_not_latine_male_16_64_in_labor_force_civilian_moe","acs_employment_status_white_not_latine_male_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_white_not_latine_male_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_white_not_latine_male_16_64_not_in_labor_force_moe","acs_employment_status_white_not_latine_male_65_plus_in_labor_force_moe","acs_employment_status_white_not_latine_male_65_plus_in_labor_force_employed_moe","acs_employment_status_white_not_latine_male_65_plus_in_labor_force_unemployed_moe","acs_employment_status_white_not_latine_male_65_plus_not_in_labor_force_moe","acs_employment_status_white_not_latine_female_16_64_in_labor_force_moe","acs_employment_status_white_not_latine_female_16_64_in_labor_force_armed_forces_moe","acs_employment_status_white_not_latine_female_16_64_in_labor_force_civilian_moe","acs_employment_status_white_not_latine_female_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_white_not_latine_female_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_white_not_latine_female_16_64_not_in_labor_force_moe","acs_employment_status_white_not_latine_female_65_plus_in_labor_force_moe","acs_employment_status_white_not_latine_female_65_plus_in_labor_force_employed_moe","acs_employment_status_white_not_latine_female_65_plus_in_labor_force_unemployed_moe","acs_employment_status_white_not_latine_female_65_plus_not_in_labor_force_moe"
2016,"12",2551378,32025,2519353,2328412,190941,777390,230132,217123,13009,1082537,2285178,4835,2280343,2126190,154153,1063753,182197,172849,9348,1365782,6285,1288,6238,6543,2952,6390,2829,2682,673,2864,6456,502,6560,7032,3175,6602,2435,2480,623,2436
2016,"13",1396928,27518,1369410,1280358,89052,383046,87271,83641,3630,315520,1193786,2523,1191263,1114331,76932,595517,65634,63043,2591,437529,4211,1006,4202,4657,2283,4368,1571,1537,315,1587,4815,409,4837,4689,1864,4857,1667,1643,350,1673
2016,"15",100760,20808,79952,75925,4027,20140,8577,8260,317,21943,66625,1959,64666,60766,3900,30140,5835,5568,267,23588,883,729,984,1030,384,880,476,479,107,474,955,258,1007,1021,396,972,406,414,122,423
2016,"16",336294,2095,334199,314642,19557,87626,19826,18775,1051,83165,287522,473,287049,270725,16324,134966,13947,13475,472,102146,2028,269,2023,2072,1050,1949,784,752,203,781,2173,202,2193,2110,1046,2243,690,685,118,706
2016,"17",2160862,9639,2151223,2007761,143462,460931,134969,129677,5292,468017,1950151,2027,1948124,1838918,109206,670998,112195,107862,4333,675505,4941,881,4985,5863,2529,4550,1716,1725,444,1742,4460,366,4406,4918,2412,4070,1828,1819,371,1815
2016,"18",1363484,1999,1361485,1275553,85932,344850,78990,76333,2657,293161,1224208,186,1224022,1152902,71120,490913,63580,61586,1994,416681,3972,288,3963,4761,2207,3891,1560,1562,327,1563,4014,90,4020,4072,1868,4068,1358,1366,251,1367
2016,"19",722584,1334,721250,688656,32594,141765,48821,47698,1123,159055,668356,128,668228,643291,24937,184953,38518,37579,939,227777,1914,260,1911,2173,1152,2048,954,951,167,953,2255,59,2258,2345,960,2380,846,838,147,845
2016,"20",589039,10786,578253,549755,28498,123668,42443,41325,1118,123704,526521,803,525718,503351,22367,181970,33259,32503,756,176662,2163,664,2311,2557,1193,2182,1169,1063,217,1168,1814,180,1814,1955,912,1922,900,907,162,901
2016,"21",895258,8912,886346,817461,68885,320490,49491,47870,1621,216834,806658,563,806095,751441,54654,425623,39592,38559,1033,299651,3226,538,3245,3666,1760,3425,1021,998,226,1033,3851,190,3902,3794,1620,3890,1036,1001,192,1039
2016,"22",699077,8825,690252,649966,40286,194424,47811,46517,1294,154308,586500,1118,585382,552749,32633,308223,35322,34370,952,218670,2901,638,2995,3477,1810,3056,1095,1046,205,1105,3116,247,3097,3260,1376,3197,1097,1081,229,1108
2016,"23",313772,1469,312303,291267,21036,84381,24010,22985,1025,82905,301319,95,301224,286009,15215,107423,19410,18761,649,110664,1713,269,1737,1931,959,1738,757,698,180,752,1882,54,1883,2048,788,1912,597,592,182,591
