"year","state_fips","acs_population_multiple_races_male_estimate","acs_population_multiple_races_male_under_5_estimate","acs_population_multiple_races_male_5_9_estimate","acs_population_multiple_races_male_10_14_estimate","acs_population_multiple_races_male_15_17_estimate","acs_population_multiple_races_male_18_19_estimate","acs_population_multiple_races_male_20_24_estimate","acs_population_multiple_races_male_25_29_estimate","acs_population_multiple_races_male_30_34_estimate","acs_population_multiple_races_male_35_44_estimate","acs_population_multiple_races_male_45_54_estimate","acs_population_multiple_races_male_55_64_estimate","acs_population_multiple_races_male_65_74_estimate","acs_population_multiple_races_male_75_84_estimate","acs_population_multiple_races_male_85_plus_estimate","acs_population_multiple_races_female_estimate","acs_population_multiple_races_female_under_5_estimate","acs_population_multiple_races_female_5_9_estimate","acs_population_multiple_races_female_10_14_estimate","acs_population_multiple_races_female_15_17_estimate","acs_population_multiple_races_female_18_19_estimate","acs_population_multiple_races_female_20_24_estimate","acs_population_multiple_races_female_25_29_estimate","acs_population_multiple_races_female_30_34_estimate","acs_population_multiple_races_female_35_44_estimate","acs_population_multiple_races_female_45_54_estimate","acs_population_multiple_races_female_55_64_estimate","acs_population_multiple_races_female_65_74_estimate","acs_population_multiple_races_female_75_84_estimate","acs_population_multiple_races_female_85_plus_estimate","acs_population_multiple_races_male_moe","acs_population_multiple_races_male_under_5_moe","acs_population_multiple_races_male_5_9_moe","acs_population_multiple_races_male_10_14_moe","acs_population_multiple_races_male_15_17_moe","acs_population_multiple_races_male_18_19_moe","acs_population_multiple_races_male_20_24_moe","acs_population_multiple_races_male_25_29_moe","acs_population_multiple_races_male_30_34_moe","acs_population_multiple_races_male_35_44_moe","acs_population_multiple_races_male_45_54_moe","acs_population_multiple_races_male_55_64_moe","acs_population_multiple_races_male_65_74_moe","acs_population_multiple_races_male_75_84_moe","acs_population_multiple_races_male_85_plus_moe","acs_population_multiple_races_female_moe","acs_population_multiple_races_female_under_5_moe","acs_population_multiple_races_female_5_9_moe","acs_population_multiple_races_female_10_14_moe","acs_population_multiple_races_female_15_17_moe","acs_population_multiple_races_female_18_19_moe","acs_population_multiple_races_female_20_24_moe","acs_population_multiple_races_female_25_29_moe","acs_population_multiple_races_female_30_34_moe","acs_population_multiple_races_female_35_44_moe","acs_population_multiple_races_female_45_54_moe","acs_population_multiple_races_female_55_64_moe","acs_population_multiple_races_female_65_74_moe","acs_population_multiple_races_female_75_84_moe","acs_population_multiple_races_female_85_plus_moe"
1950,"02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
